mth    Martenshoek
mtn    Maastricht Noord
mtr    Maastricht Randwyck
mz     Maarheeze
na     Nieuw Amsterdam
ndb    Naarden-Bussum
nh     Nuth
nkk    Nijkerk
nm     Nijmegen
nmd    Nijmegen Dukenburg
nmgo   Nijmegen Goffert
nmh    Nijmegen Heyendaal
nml    Nijmegen Lent
ns     Nunspeet
nsch   Bad Nieuweschans
nvd    Nijverdal
nvp    Nieuw Vennep
nwk    Nieuwerkerk ad IJssel
o      Oss
obd    Obdam
odb    Oudenbosch
odz    Oldenzaal
omn    Ommen
op     Opheusden
ost    Olst
ot     Oisterwijk
otb    Oosterbeek
ovn    Overveen
ow     Oss West
pmo    Purmerend Overwhere
pmr    Purmerend
pmw    Purmerend Weidevenne
pnk    Pijnacker
pt     Putten
rai    Amsterdam RAI
rat    Raalte
rb     Rilland-Bath
rd     Roodeschool
rdr    Berkel en Rodenrijs
rh     Rheden
rhn    Rhenen
rl     Ruurlo
rlb    Rotterdam Lombardijen
rm     Roermond
rs     Rosmalen
rsd    Roosendaal
rsdg   Roosendaal grens
rsn    Rijssen
rsw    Rijswijk
rta    Rotterdam Alexander
rtb    Rotterdam Blaak
rtd    Rotterdam Centraal
rtn    Rotterdam Noord
rtst   Rotterdam Stadion
rtz    Rotterdam Zuid
rv     Reuver
rvs    Ravenstein
sbk    Spaubeek
sd     Soestdijk
sda    Scheemda
sdm    Schiedam Centrum
sdt    Sliedrecht
sdtb   Sliedrecht Baanhoek
sgl    Houthem-St. Gerlach
sgn    Schagen
shl    Schiphol Airport
sk     Sneek
sknd   Sneek Noord
sm     Swalmen
sn     Schinnen
sog    Schin op Geul
sptn   Santpoort Noord
sptz   Santpoort Zuid
srn    Susteren
ssh    Sassenheim
st     Soest
std    Sittard
stm    Stedum
sto    Stroe
stv    Stavoren
stz    Soest Zuid
swd    Sauwerd
swk    Steenwijk
tb     Tilburg
tbg    Terborg
tbr    Tilburg Reeshof
tbu    Tilburg Universiteit
tg     Tegelen
tl     Tiel
tpsw   Tiel Passewaaij
tud    TU-Delft (NS-bus)
twl    Twello
uhm    Uithuizermeeden
uhz    Uithuizen
urk    Urk
ust    Usquert
ut     Utrecht Centraal
utg    Uitgeest
utln   Utrecht Lunetten
utlr   Utrecht Leidsche Rijn
utm    Utrecht Maliebaan
uto    Utrecht Overvecht
utt    Utrecht Terwijde
utu    Utrecht Uithof (NS-bus)
utvr   Utrecht Vaartsche Rijn
utzl   Utrecht Zuilen
vb     Voorburg
vbl    Voorburg t Loo
vd     Vorden
vdl    Voerendaal
vdm    Veendam
veg    Veghel (NS-bus)
vem    Voorst-Empe
vg     Vught
vh     Voorhout
vhp    Vroomshoop
vijfsl Vijfsluizen
vk     Valkenburg
vl     Venlo
vlb    Vierlingsbeek
vlgr   Venlo Grens
vmw    Amsterdam Van der Madeweg
vndc   Veenendaal Centrum
vndw   Veenendaal West
vp     Velp
vry    Venray
vs     Vlissingen
vss    Vlissingen Souburg
vst    Voorschoten
vsv    Varsseveld
vtn    Vleuten
vwd    Veenwouden
vz     Vriezenveen
wad    Waddinxveen
wadn   Waddinxveen Noord
wadt   Waddinxveen Triangel
wc     Wijchen
wd     Woerden
wdn    Wierden
wf     Wolfheze
wfm    Warffum
wh     Wijhe
wk     Workum
wkb    Waalwijk (NS-bus)
wl     Wehl
wm     Wormerveer
wp     Weesp
wrg    Weener Grens
ws     Winschoten
wsm    Winsum
wt     Weert
wtv    Westervoort
wv     Wolvega
ww     Winterswijk
www    Winterswijk West
wz     Wezep
ypb    Den Haag Ypenburg
za     Zetten-Andelst
zb     Zuidbroek
zbm    Zaltbommel
zd     Zaandam
zdk    Zaandam Kogerveld
zh     Zuidhorn
zl     Zwolle
zlsh   Zwolle Stadshagen
zlw    Lage Zwaluwe
zp     Zutphen
ztm    Zoetermeer
ztmo   Zoetermeer Oost
zv     Zevenaar
zvb    Zevenbergen
zvt    Zandvoort aan Zee
zwd    Zwijndrecht
zww    Zwaagwesteinde
zzs    Zaandijk Zaanse Schans
